__time,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/orientation/w,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/orientation/x,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/orientation/y,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/orientation/z,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/position/x,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/position/y,/rviz_moveit_motion_planning_display/robot_interaction_interactive_marker_topic/feedback/pose/position/z
1728477231.03688,0.000641645,0.923914611,-0.382598072,0.000265095,0.067398101,0.356046319,0.673894644
1728477232.73263,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.76451,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.79626,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.82801,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.86073,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.89242,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.92411,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.95577,0.000641645,0.923914611,-0.382598072,0.000265095,0.111923009,0.353876591,0.60300076
1728477232.98785,0.000641645,0.923914611,-0.382598072,0.000265095,0.117522627,0.350440919,0.596128583
1728477233.05213,0.000641645,0.923914611,-0.382598072,0.000265095,0.12336269,0.349921823,0.586981654
1728477233.02083,0.000641645,0.923914611,-0.382598072,0.000265095,0.120910317,0.348976851,0.591574192
1728477233.11589,0.000641645,0.923914611,-0.382598072,0.000265095,0.131379277,0.347456813,0.575558066
1728477233.0839,0.000641645,0.923914611,-0.382598072,0.000265095,0.128951937,0.34648174,0.580129743
1728477233.21205,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.24457,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.2765,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.30852,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.34016,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.37207,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.40464,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.43651,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.44174,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.44179,0.000641645,0.923914611,-0.382598072,0.000265095,0.136025339,0.346437037,0.568673134
1728477233.14802,0.000641645,0.923914611,-0.382598072,0.000265095,0.134793431,0.345966339,0.570977449
1728477233.1802,0.000641645,0.923914611,-0.382598072,0.000265095,0.134793431,0.345966339,0.570977449
